id,name,age,country,position,club,clubLeague,inTop5League,internationalCaps,internationalGoals,internationalAssists,clubGoalsThisSeason,clubAssistsThisSeason,clubAppsThisSeason,isStarter,jerseyNumber,formLast5_mean
UNI_3_832,Chris Richards,26,Estados Unidos,CB,Crystal Palace F.C.,Premier League,True,36,3,2,3,2,28,True,3,0.8
UNI_5_36,Antonee Robinson,29,Estados Unidos,LB,Fulham F.C.,Premier League,True,54,5,4,5,3,43,True,5,0.6
UNI_12_154,Miles Robinson,29,Estados Unidos,CB,FC Cincinnati,Other,False,40,3,3,3,1,32,False,12,1.2
UNI_23_755,Joe Scally,24,Estados Unidos,RB,Borussia Mönchengladbach,Other,False,26,0,2,3,2,20,False,23,1.8
UNI_6_666,Auston Trusty,28,Estados Unidos,CB,Celtic F.C.,Other,False,8,0,0,7,1,6,False,6,1.4
UNI_4_933,Tyler Adams,27,Estados Unidos,DM,AFC Bournemouth,Premier League,True,54,2,4,2,0,43,True,4,1.0
UNI_14_41,Sebastian Berhalter,25,Estados Unidos,CM,Vancouver Whitecaps FC,Other,False,13,1,1,1,3,10,False,14,0.8
UNI_8_26,Weston McKennie,28,Estados Unidos,CM,Juventus FC,Serie A,True,66,12,5,12,3,52,True,8,0.8
UNI_15_913,Cristian Roldan,31,Estados Unidos,CM,Seattle Sounders FC,Other,False,47,0,3,0,1,37,False,15,0.6
UNI_11_577,Brenden Aaronson,26,Estados Unidos,AM,Leeds United F.C.,Other,False,58,9,4,9,3,46,False,11,1.0
UNI_17_700,Malik Tillman,24,Estados Unidos,CM,Bayer 04 Leverkusen,Bundesliga,True,30,3,2,3,2,24,False,17,1.0
UNI_1_702,Timothy Weah,29,Estados Unidos,RW,Olympique de Marseille,Ligue 1,True,11,0,0,2,3,8,True,21,0.8
UNI_2_990,Alejandro Zendejas,29,Estados Unidos,AM,Club América,Other,False,23,0,1,7,0,18,False,26,1.4
UNI_10_194,Christian Pulisic,28,Estados Unidos,LW,AC Milan,Serie A,True,86,33,6,33,3,68,True,10,1.2
UNI_3_828,Gio Reyna,25,Estados Unidos,AM,Borussia Mönchengladbach,Other,False,20,0,1,7,4,16,True,7,0.6
UNI_20_230,Folarin Balogun,25,Estados Unidos,ST,AS Monaco,Ligue 1,True,27,9,2,9,4,21,True,20,1.4
UNI_9_650,Ricardo Pepi,23,Estados Unidos,ST,PSV Eindhoven,Other,False,37,13,2,13,1,29,False,9,1.4
UNI_19_828,Haji Wright,28,Estados Unidos,LW,Coventry City F.C.,Other,False,20,7,1,7,3,16,False,19,0.8
AUS_1_125,Alexander Schlager,30,Austria,GK,FC Red Bull Salzburg,Other,False,26,0,2,0,1,20,True,1,1.2
AUS_12_289,Florian Wiegele,25,Austria,GK,FC Viktoria Plzeň,Other,False,1,0,0,0,1,20,False,12,1.8
AUS_13_298,Patrick Pentz,29,Austria,GK,Bröndby IF,Other,False,18,0,1,5,1,14,False,13,0.6
AUS_2_438,David Affengruber,25,Austria,CB,Elche CF,Other,False,1,0,0,7,1,24,False,2,0.2
AUS_3_990,Kevin Danso,28,Austria,CB,Tottenham Hotspur F.C.,Premier League,True,32,0,2,1,1,25,True,3,1.2
AUS_5_311,Stefan Posch,29,Austria,RB,1. FSV Mainz 05,Bundesliga,True,52,5,4,5,1,41,True,5,1.0
AUS_8_63,David Alaba,34,Austria,CB,Real Madrid,La Liga,True,113,15,9,15,3,90,True,8,1.2
AUS_15_128,Philipp Lienhart,30,Austria,CB,SC Freiburg,Bundesliga,True,41,3,3,3,3,32,False,15,1.0
AUS_1_18,Phillipp Mwene,23,Austria,LB,1. FSV Mainz 05,Bundesliga,True,6,0,0,5,0,4,True,16,1.8
AUS_22_129,Alexander Prass,25,Austria,LB,TSG 1899 Hoffenheim,Bundesliga,True,19,0,1,2,1,15,False,22,1.2
AUS_23_359,Marco Friedl,28,Austria,CB,SV Werder Bremen,Bundesliga,True,11,0,0,4,1,8,False,2,1.0
AUS_25_576,Michael Svoboda,28,Austria,CB,Venezia FC,Other,False,4,0,0,0,0,3,False,25,1.4
AUS_4_372,Xaver Schlager,29,Austria,DM,RB Leipzig,Bundesliga,True,51,4,4,4,3,40,True,4,0.6
AUS_6_962,Nicolas Seiwald,25,Austria,DM,RB Leipzig,Bundesliga,True,47,1,3,1,0,37,True,6,0.6
AUS_9_915,Marcel Sabitzer,32,Austria,LW,Borussia Dortmund,Bundesliga,True,98,26,7,26,3,78,True,9,1.2
AUS_10_425,Florian Grillitsch,31,Austria,CM,S.C. Braga,Other,False,59,1,4,1,1,47,False,10,1.4
AUS_17_795,Carney Chukwuemeka,23,Austria,CM,Borussia Dortmund,Bundesliga,True,3,1,0,1,3,2,False,17,0.8
AUS_18_475,Romano Schmid,26,Austria,AM,SV Werder Bremen,Bundesliga,True,34,3,2,3,1,27,False,18,0.4
AUS_2_499,Dejan Ljubicic,28,Austria,ST,FC Schalke 04,Other,False,14,0,1,3,2,11,False,19,1.4
AUS_20_653,Konrad Laimer,29,Austria,RW,FC Bayern Munich,Bundesliga,True,57,7,4,7,3,45,True,20,1.6
AUS_21_255,Patrick Wimmer,25,Austria,AM,VfL Wolfsburg,Bundesliga,True,30,1,2,1,0,24,True,21,1.0
AUS_24_972,Paul Wanner,21,Austria,AM,PSV Eindhoven,Other,False,3,0,0,1,0,2,False,24,1.6
AUS_3_575,Alessandro Schöpf,29,Austria,CM,Wolfsberger AC,Other,False,24,0,1,4,4,19,False,23,1.4
AUS_7_981,Marko Arnautović,37,Austria,ST,FK Crvena zvezda,Other,False,133,47,10,47,1,106,False,7,0.4
AUS_11_957,Michael Gregoritsch,32,Austria,ST,FC Augsburg,Bundesliga,True,75,24,6,24,0,60,True,11,1.0
AUS_14_230,Saša Kalajdžić,29,Austria,ST,,Other,False,22,4,1,4,0,17,False,14,1.2
BEL_1_490,Thibaut Courtois,34,Belgica,GK,Real Madrid,La Liga,True,109,0,8,2,3,87,True,1,1.2
BEL_12_715,Senne Lammens,24,Belgica,GK,Manchester United,Premier League,True,2,0,0,2,2,1,False,12,0.4
BEL_13_568,Mike Penders,21,Belgica,GK,RC Strasbourg,Ligue 1,True,11,0,0,3,2,8,False,13,0.4
BEL_21_605,Timothy Castagne,31,Belgica,RB,Fulham,Premier League,True,63,2,5,2,4,50,True,21,0.8
BEL_2_877,Zeno Debast,23,Belgica,CB,Sporting CP,Other,False,26,1,2,1,3,20,True,2,1.2
BEL_5_311,Maxim De Cuyper,26,Belgica,LB,Brighton & Hove Albion,Premier League,True,19,4,1,4,1,15,True,5,1.0
BEL_16_684,Koni De Winter,24,Belgica,CM,AC Milan,Serie A,True,8,0,0,0,0,6,False,16,1.0
BEL_4_761,Brandon Mechele,33,Belgica,CM,Club Brugge,Other,False,9,1,0,1,2,7,False,4,1.0
BEL_15_400,Thomas Meunier,35,Belgica,CM,LOSC Lille,Ligue 1,True,80,10,6,10,3,64,False,15,1.2
BEL_25_901,Nathan Ngoy,23,Belgica,CM,LOSC Lille,Ligue 1,True,4,0,0,4,1,3,False,25,0.8
BEL_18_260,Joaquin Seys,21,Belgica,CM,Club Brugge,Other,False,5,0,0,5,2,4,False,18,1.2
BEL_3_73,Arthur Theate,26,Belgica,CB,Eintracht Frankfurt,Bundesliga,True,33,1,2,1,1,26,True,3,0.8
BEL_7_902,Kevin De Bruyne,35,Belgica,CM,SSC Napoli,Serie A,True,119,37,9,37,2,95,True,7,0.2
BEL_24_425,Amadou Onana,25,Belgica,CM,Aston Villa,Premier League,True,29,1,2,1,4,23,True,24,1.8
BEL_23_555,Nicolas Raskin,25,Belgica,CM,Rangers,Other,False,13,2,1,2,4,10,False,23,1.4
BEL_8_642,Youri Tielemans,29,Belgica,CM,Aston Villa,Premier League,True,85,13,6,13,0,68,True,8,0.8
BEL_20_443,Hans Vanaken,34,Belgica,CM,Club Brugge,Other,False,34,7,2,7,2,27,False,20,1.2
BEL_6_825,Axel Witsel,37,Belgica,DM,Girona,La Liga,True,138,12,11,12,0,110,False,6,1.8
BEL_17_939,Charles De Ketelaere,25,Belgica,AM,Atalanta,Serie A,True,30,6,2,6,2,24,False,17,1.4
BEL_11_669,Jérémy Doku,24,Belgica,LW,Manchester City,Premier League,True,43,7,3,7,1,34,True,11,0.8
BEL_26_952,Matias Fernandez-Pardo,21,Belgica,RW,LOSC Lille,Ligue 1,True,2,0,0,5,2,1,False,26,0.8
BEL_9_478,Romelu Lukaku,33,Belgica,ST,SSC Napoli,Serie A,True,126,90,10,90,2,100,True,9,1.4
BEL_14_963,Dodi Lukébakio,29,Belgica,RW,S.L. Benfica,Other,False,30,6,2,6,2,24,True,14,1.2
BEL_19_138,Diego Moreira,22,Belgica,AM,RC Strasbourg,Ligue 1,True,3,0,0,3,3,2,False,19,0.8
BEL_22_418,Alexis Saelemaekers,27,Belgica,RW,AC Milan,Serie A,True,24,2,1,2,3,19,False,22,1.6
BEL_10_625,Leandro Trossard,32,Belgica,LW,Arsenal,Premier League,True,51,12,4,12,2,40,False,10,1.2
BOS_1_274,Nikola Vasilj,31,Bosnia y Herzegovina,GK,St. Pauli,Other,False,26,0,2,3,1,20,True,1,1.0
BOS_22_384,Martin Zlomislić,28,Bosnia y Herzegovina,GK,Rijeka,Other,False,3,0,0,1,4,2,False,22,1.0
BOS_1_698,Mladen Jurkas,25,Bosnia y Herzegovina,GK,Transfermarkt profile,Other,False,7,0,0,7,3,5,False,12,0.4
BOS_5_812,Sead Kolašinac,33,Bosnia y Herzegovina,LB,Atalanta,Serie A,True,65,0,5,2,2,52,True,5,0.4
BOS_7_96,Amar Dedić,24,Bosnia y Herzegovina,RB,Benfica,Other,False,28,1,2,1,4,22,True,7,1.4
BOS_2_880,Nihad Mujakić,28,Bosnia y Herzegovina,CB,Gaziantep,Other,False,12,1,0,1,1,9,False,2,1.2
BOS_18_487,Nikola Katić,30,Bosnia y Herzegovina,CB,Schalke 04,Other,False,17,2,1,2,0,13,True,18,1.2
BOS_4_244,Tarik Muharemović,23,Bosnia y Herzegovina,CB,Sassuolo,Other,False,14,1,1,1,4,11,True,4,1.2
BOS_21_427,Stjepan Radeljić,29,Bosnia y Herzegovina,CB,Rijeka,Other,False,5,0,0,1,2,4,False,21,0.8
BOS_3_89,Dennis Hadžikadunić,28,Bosnia y Herzegovina,CB,Sampdoria,Other,False,32,0,2,4,0,25,False,3,1.0
BOS_24_397,Nidal Čelik,20,Bosnia y Herzegovina,CB,,Other,False,2,0,0,6,2,1,False,24,1.4
BOS_16_380,Amir Hadžiahmetović,29,Bosnia y Herzegovina,DM,Hull City,Other,False,36,0,2,6,3,28,True,16,1.0
BOS_14_315,Ivan Šunjić,30,Bosnia y Herzegovina,DM,Pafos,Other,False,11,0,0,5,4,8,False,14,0.6
BOS_13_871,Ivan Bašić,24,Bosnia y Herzegovina,CM,Astana,Other,False,17,0,1,5,2,13,False,13,0.6
BOS_17_641,Dženis Burnić,28,Bosnia y Herzegovina,DM,Karlsruher SC,Other,False,20,0,1,1,2,16,False,17,0.8
BOS_26_512,Ermin Mahmić,21,Bosnia y Herzegovina,AM,Slovan Liberec,Other,False,2,0,0,4,1,1,False,26,1.2
BOS_6_47,Benjamin Tahirović,23,Bosnia y Herzegovina,CM,Bröndby,Other,False,28,2,2,2,0,22,True,6,1.4
BOS_15_350,Amar Memić,25,Bosnia y Herzegovina,AM,Viktoria Plzen,Other,False,13,1,1,1,3,10,False,15,1.0
BOS_8_570,Armin Gigović,24,Bosnia y Herzegovina,LW,Young Boys,Other,False,20,1,1,1,2,16,True,8,0.2
BOS_19_254,Kerim Alajbegović,19,Bosnia y Herzegovina,RB,RB Salzburg,Other,False,10,1,0,1,4,8,False,19,1.4
BOS_20_536,Esmir Bajraktarević,21,Bosnia y Herzegovina,RW,PSV Eindhoven,Other,False,16,1,1,1,1,12,True,20,0.6
BOS_10_30,Ermedin Demirović,28,Bosnia y Herzegovina,ST,VfB Stuttgart,Bundesliga,True,40,4,3,4,2,32,True,10,0.6
BOS_25_437,Jovo Lukić,28,Bosnia y Herzegovina,ST,Universitatea Cluj,Other,False,3,0,0,1,0,2,False,25,1.2
BOS_9_618,Samed Baždar,22,Bosnia y Herzegovina,AM,Jagiellonia Bialystok,Other,False,13,1,1,1,0,10,False,9,0.8
BOS_23_847,Haris Tabaković,32,Bosnia y Herzegovina,ST,Borussia Mönchengladbach,Other,False,10,4,0,4,3,8,False,23,2.0
BOS_11_680,Edin Džeko,40,Bosnia y Herzegovina,ST,Schalke 04,Other,False,148,73,11,73,4,118,True,11,0.2
CRO_1_567,Dominik Livaković,31,Croacia,GK,,Other,False,75,0,6,2,3,60,True,1,0.6
CRO_23_349,Dominik Kotarski,26,Croacia,GK,,Other,False,4,0,0,1,4,3,False,12,1.0
CRO_12_357,Ivor Pandur,26,Croacia,GK,,Other,False,5,0,0,0,1,4,False,23,1.2
CRO_4_677,Joško Gvardiol,24,Croacia,LB,,Other,False,48,4,3,4,2,38,True,4,1.0
CRO_5_926,Duje Ćaleta-Car,30,Croacia,CB,,Other,False,38,1,3,1,2,30,True,5,0.6
CRO_6_478,Josip Šutalo,26,Croacia,CB,,Other,False,33,0,2,3,3,26,True,6,1.0
CRO_2_149,Josip Stanišić,26,Croacia,RB,,Other,False,31,0,2,2,4,24,True,2,0.8
CRO_3_779,Marin Pongračić,29,Croacia,CB,,Other,False,20,0,1,0,2,16,False,3,0.4
CRO_25_348,Martin Erlić,28,Croacia,CB,,Other,False,13,1,1,1,0,10,False,25,1.2
CRO_22_833,Luka Vušković,19,Croacia,CB,,Other,False,5,1,0,1,4,4,False,22,0.6
CRO_10_969,Luka Modrić,41,Croacia,AM,,Other,False,198,29,15,29,4,158,True,10,1.6
CRO_8_976,Mateo Kovačić,32,Croacia,CM,,Other,False,113,5,9,5,4,90,True,8,1.2
CRO_15_126,Mario Pašalić,31,Croacia,CM,,Other,False,85,12,6,12,4,68,True,15,0.4
CRO_13_965,Nikola Vlašić,29,Croacia,AM,,Other,False,63,10,5,10,2,50,False,13,0.8
CRO_21_137,Luka Sučić,24,Croacia,CM,,Other,False,21,1,1,1,3,16,False,21,1.2
CRO_16_504,Martin Baturina,23,Croacia,AM,,Other,False,19,1,1,1,0,15,False,16,1.0
CRO_18_679,Kristijan Jakić,29,Croacia,RB,,Other,False,17,2,1,2,0,13,False,18,1.0
CRO_17_665,Petar Sučić,23,Croacia,CM,,Other,False,17,1,1,1,4,13,False,17,1.4
CRO_7_935,Nikola Moro,28,Croacia,DM,,Other,False,10,0,0,3,3,8,False,7,1.4
CRO_19_705,Toni Fruk,25,Croacia,AM,,Other,False,7,1,0,1,4,5,False,19,0.4
CRO_14_582,Ivan Perišić,37,Croacia,LW,,Other,False,154,38,12,38,2,123,True,14,0.4
CRO_9_219,Andrej Kramarić,35,Croacia,ST,,Other,False,116,36,9,36,4,92,True,9,1.0
CRO_11_173,Ante Budimir,35,Croacia,ST,,Other,False,38,6,3,6,4,30,False,11,0.8
CRO_24_187,Marco Pašalić,26,Croacia,RW,,Other,False,15,1,1,1,2,12,True,24,0.6
CRO_26_581,Petar Musa,28,Croacia,ST,,Other,False,11,1,0,1,3,8,False,26,0.6
CRO_20_915,Igor Matanović,23,Croacia,ST,,Other,False,9,2,0,2,4,7,False,20,1.2
CZE_23_689,Matěj Kovář,24,Republica Checa,GK,,Other,False,1,0,0,2,4,26,False,16,1.6
CZE_1_407,Vítězslav Jaroš,25,Republica Checa,GK,,Other,False,9,0,0,7,4,7,False,23,0.6
CZE_16_260,Jindřich Staněk,30,Republica Checa,GK,,Other,False,14,0,1,6,3,11,True,1,1.2
CZE_5_238,Vladimír Coufal,34,Republica Checa,RB,,Other,False,62,2,4,2,0,49,False,5,1.2
CZE_21_123,David Douděra,28,Republica Checa,RWB,,Other,False,17,2,1,2,0,13,True,12,0.6
CZE_3_969,Tomáš Holeš,33,Republica Checa,CB,,Other,False,41,2,3,2,2,32,True,3,1.4
CZE_4_122,Robin Hranáč,26,Republica Checa,CB,,Other,False,14,1,1,1,0,11,True,4,1.0
CZE_6_79,Martin Vitík,23,Republica Checa,CB,,Other,False,5,0,0,2,4,4,False,18,0.6
CZE_14_782,David Jurásek,26,Republica Checa,LWB,,Other,False,18,1,1,1,4,14,True,15,0.4
CZE_7_612,Ladislav Krejčí,27,Republica Checa,CB,,Other,False,27,5,2,5,0,21,True,6,0.4
CZE_20_692,Antonín Barák,34,Republica Checa,AM,,Other,False,23,0,1,5,3,18,False,7,2.0
CZE_2_977,David Zima,26,Republica Checa,CB,,Other,False,25,1,2,1,2,20,False,2,1.4
CZE_12_949,Lukáš Červ,25,Republica Checa,CM,,Other,False,17,2,1,2,3,13,True,21,0.8
CZE_8_870,Pavel Šulc,36,Republica Checa,AM,,Other,False,79,8,6,8,0,63,True,14,1.0
CZE_17_638,Lukáš Provod,30,Republica Checa,CM,,Other,False,38,3,3,3,0,30,False,4,1.0
CZE_18_876,Václav Černý,27,Republica Checa,AM,,Other,False,35,1,2,1,0,28,False,17,1.4
CZE_25_825,Ondřej Lingr,18,Republica Checa,AM,,Other,False,1,0,0,2,3,25,False,8,1.0
CZE_24_84,Matěj Jurásek,23,Republica Checa,LW,,Other,False,2,0,0,3,4,1,False,13,1.4
CZE_22_719,Tomáš Souček,31,Republica Checa,CM,,Other,False,90,17,7,17,0,72,True,22,0.8
CZE_9_216,Adam Hložek,24,Republica Checa,ST,,Other,False,43,5,3,5,2,34,True,9,1.6
CZE_19_636,Tomáš Chorý,31,Republica Checa,ST,,Other,False,22,7,1,7,0,17,False,19,1.2
CZE_13_762,Mojmír Chytil,27,Republica Checa,ST,,Other,False,22,6,1,6,2,17,False,20,1.0
CZE_11_821,Jan Kuchta,29,Republica Checa,ST,,Other,False,31,3,2,3,3,24,False,11,1.8
CZE_10_715,Patrik Schick,30,Republica Checa,ST,,Other,False,53,26,4,26,4,42,True,10,1.4
CZE_2_20,Matej Vydra,27,Republica Checa,ST,Viktoria Plzen,Other,False,20,0,1,4,4,16,False,2,1.2
CZE_26_513,Denis Višinský,23,Republica Checa,ST,Viktoria Plzen,Other,False,2,1,0,1,1,1,False,26,0.4
ENG_1_354,Jordania Pickford,32,Inglaterra,GK,Everton FC,Premier League,True,84,0,6,0,3,67,True,1,0.8
ENG_13_750,Dean Henderson,29,Inglaterra,GK,,Other,False,4,0,0,2,2,3,False,13,0.2
ENG_23_753,James Trafford,24,Inglaterra,GK,,Other,False,2,0,0,3,2,1,False,22,0.2
ENG_24_491,Reece James,27,Inglaterra,RB,Chelsea FC,Premier League,True,24,1,1,1,3,19,True,24,0.6
ENG_2_315,Ezri Konsa,29,Inglaterra,CB,Aston Villa,Premier League,True,20,1,1,1,2,16,False,2,0.8
ENG_26_760,Jarell Quansah,23,Inglaterra,CB,Bayer Leverkusen,Bundesliga,True,3,0,0,5,0,2,False,26,1.0
ENG_5_684,John Stones,32,Inglaterra,CB,Manchester City,Premier League,True,89,3,7,3,4,71,True,5,1.2
ENG_6_60,Marc Guéhi,26,Inglaterra,CB,Manchester City,Premier League,True,29,1,2,1,3,23,True,6,0.8
ENG_15_766,Dan Burn,34,Inglaterra,CB,Newcastle United,Premier League,True,8,0,0,5,4,6,False,15,1.2
ENG_3_540,Nico O'Reilly,21,Inglaterra,LB,Manchester City,Premier League,True,5,0,0,5,4,4,True,3,0.6
ENG_25_506,Djed Spence,26,Inglaterra,LB,Tottenham Hotspur,Premier League,True,6,0,0,3,2,4,False,25,0.6
ENG_12_324,Tino Livramento,24,Inglaterra,RB,Newcastle United,Premier League,True,6,0,0,1,3,4,False,12,0.8
ENG_4_665,Declan Rice,27,Inglaterra,CM,Arsenal FC,Premier League,True,73,7,5,7,0,58,True,4,0.6
ENG_8_932,Elliot Anderson,24,Inglaterra,CM,Nottingham Forest,Premier League,True,9,0,0,3,1,7,True,8,1.2
ENG_16_932,Kobbie Mainoo,21,Inglaterra,CM,Manchester United,Premier League,True,14,0,1,3,4,11,False,16,0.4
ENG_14_521,Jordania Henderson,36,Inglaterra,CM,,Other,False,91,3,7,3,1,72,False,14,1.0
ENG_17_825,Morgan Rogers,24,Inglaterra,AM,,Other,False,15,1,1,1,4,12,False,17,0.8
ENG_10_125,Jude Bellingham,23,Inglaterra,AM,Real Madrid,La Liga,True,48,6,3,6,0,38,True,10,0.6
ENG_21_764,Eberechi Eze,28,Inglaterra,AM,Arsenal FC,Premier League,True,17,3,1,3,4,13,False,19,0.6
ENG_9_1,Harry Kane,33,Inglaterra,ST,Bayern Munich,Bundesliga,True,114,79,9,79,1,91,True,9,1.2
ENG_22_691,Ivan Toney,30,Inglaterra,ST,,Other,False,8,1,0,1,4,6,False,22,1.4
ENG_19_881,Ollie Watkins,31,Inglaterra,ST,,Other,False,22,7,1,7,1,17,False,19,1.0
ENG_7_554,Bukayo Saka,25,Inglaterra,RW,Arsenal FC,Premier League,True,49,14,3,14,4,39,True,7,1.4
ENG_11_394,Marcus Rashford,29,Inglaterra,LW,Barcelona,La Liga,True,72,18,5,18,3,57,True,11,1.0
ENG_18_56,Anthony Gordon,25,Inglaterra,LW,,Other,False,19,3,1,3,0,15,False,18,1.4
